Date,Draw,Numbers,Bonus
2021-07-16,1215,"20,22,25,41,45",5
2021-07-13,1214,"2,28,29,38,42",2
2021-07-09,1213,"3,12,29,31,38",15
2021-07-06,1212,"1,16,18,26,39",8
2021-07-02,1211,"20,30,34,38,43",7
2021-06-29,1210,"6,35,41,43,45",4
2021-06-25,1209,"4,16,34,36,46",6
2021-06-22,1208,"3,11,24,33,41",16
2021-06-18,1207,"3,8,19,28,49",11
2021-06-15,1206,"13,23,24,27,44",10
2021-06-11,1205,"9,12,27,37,48",7
2021-06-08,1204,"1,3,17,28,50",7
2021-06-04,1203,"17,34,37,39,44",10
2021-06-01,1202,"3,5,23,37,42",11
2021-05-28,1201,"31,33,36,38,44",4
2021-05-25,1200,"3,4,8,25,44",15
2021-05-21,1199,"19,21,24,45,50",5
2021-05-18,1198,"4,11,30,35,45",12
2021-05-14,1197,"3,16,28,31,48",11
2021-05-11,1196,"4,10,17,29,38",20
2021-05-07,1195,"4,7,19,20,49",19
2021-05-04,1194,"3,9,17,25,39",13
2021-04-30,1193,"6,12,22,38,45",4
2021-04-27,1192,"1,8,22,29,49",18
2021-04-23,1191,"5,14,19,30,35",12
2021-04-20,1190,"3,5,12,32,49",19
2021-04-16,1189,"2,5,12,25,49",20
2021-04-13,1188,"6,8,22,31,42",15
2021-04-09,1187,"18,31,39,45,46",17
2021-04-06,1186,"3,13,21,42,45",8
2021-04-02,1185,"4,8,15,25,26",17
2021-03-30,1184,"7,16,24,25,38",9
2021-03-26,1183,"5,25,27,42,47",15
2021-03-23,1182,"7,9,10,18,34",16
2021-03-19,1181,"5,16,27,32,46",18
2021-03-16,1180,"11,20,21,32,36",18
2021-03-12,1179,"7,15,29,34,39",2
2021-03-09,1178,"28,30,36,37,41",7
2021-03-05,1177,"6,15,39,40,48",17
2021-03-02,1176,"1,11,21,32,42",11
2021-02-26,1175,"1,3,7,41,44",11
2021-02-23,1174,"8,13,25,32,42",16
2021-02-19,1173,"3,17,20,25,47",3
2021-02-16,1172,"5,18,31,36,45",8
2021-02-12,1171,"3,15,35,39,41",5
2021-02-09,1170,"4,7,15,30,32",10
2021-02-05,1169,"8,16,19,20,50",18
2021-02-02,1168,"6,13,22,34,49",10
2021-01-29,1167,"2,11,16,22,47",19
2021-01-26,1166,"4,8,12,15,19",17
2021-01-22,1165,"11,14,36,37,44",19
2021-01-19,1164,"13,16,28,42,45",11
2021-01-15,1163,"24,31,40,45,48",20
2021-01-12,1162,"11,13,28,36,37",15
2021-01-08,1161,"11,16,28,32,41",6
2021-01-05,1160,"4,17,42,46,48",14
2021-01-01,1159,"1,7,24,30,44",1
2020-12-29,1158,"15,17,24,28,30",19
2020-12-22,1157,"9,12,15,27,42",14
2020-12-18,1156,"20,22,24,28,47",14
2020-12-15,1155,"3,7,13,34,50",6
2020-12-11,1154,"13,18,25,36,49",19
2020-12-08,1153,"6,16,35,37,40",2
2020-12-04,1152,"13,15,24,30,50",9
2020-12-01,1151,"5,6,7,8,9",10
2020-11-27,1150,"13,29,34,36,49",18
